level_id,level_name,plan,anio,orientacion,institucion,carrera,subject,axis,topic,status
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Oralidad,conversación cotidiana,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Oralidad,escucha atenta,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Oralidad,turnos de habla,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Oralidad,relato de experiencias,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Oralidad,preguntas y respuestas,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Oralidad,instrucciones simples,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Oralidad,vocabulario escolar,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Lectura,lectura de imágenes,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Lectura,anticipación por título e ilustraciones,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Lectura,reconocimiento de palabras frecuentes,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Lectura,lectura compartida,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Lectura,cuentos breves,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Lectura,rimas,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Lectura,poesías,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Lectura,señales y carteles,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Escritura,nombre propio,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Escritura,vocales y consonantes,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Escritura,correspondencia grafema-fonema,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Escritura,palabras y frases,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Escritura,listas,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Escritura,copiado con sentido,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Escritura,escritura espontánea,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Escritura,uso inicial de mayúscula,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Reflexión sobre la lengua,letras,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Reflexión sobre la lengua,sílabas,semilla_curada
primaria,Educación Primaria,Educación Primaria,1,,,,Lengua,Reflexión sobre la lengua,palabra y oración,semilla_curada
